,model,recall rate,M,Geometry
303,Karcher-Flow,0.413953488372093,215,H
304,DAM,0.17674418604651163,215,E
305,MHN,0.0,215,E
306,Karcher-Flow,0.4744186046511628,215,H
307,DAM,0.21395348837209302,215,E
308,MHN,0.0,215,E
309,Karcher-Flow,0.4790697674418605,215,H
310,DAM,0.22790697674418606,215,E
311,MHN,0.0,215,E
312,Karcher-Flow,0.39069767441860465,215,H
313,DAM,0.2372093023255814,215,E
314,MHN,0.0,215,E
315,Karcher-Flow,0.44651162790697674,215,H
316,DAM,0.20930232558139536,215,E
317,MHN,0.0,215,E
318,Karcher-Flow,0.5116279069767442,215,H
319,DAM,0.2186046511627907,215,E
320,MHN,0.0,215,E
321,Karcher-Flow,0.4,215,H
322,DAM,0.17674418604651163,215,E
323,MHN,0.0,215,E
324,Karcher-Flow,0.46511627906976744,215,H
325,DAM,0.14883720930232558,215,E
326,MHN,0.0,215,E
327,Karcher-Flow,0.4186046511627907,215,H
328,DAM,0.14883720930232558,215,E
329,MHN,0.0,215,E
330,Karcher-Flow,0.4300341296928328,293,H
331,DAM,0.09215017064846416,293,E
332,MHN,0.0,293,E
333,Karcher-Flow,0.47440273037542663,293,H
334,DAM,0.13651877133105803,293,E
335,MHN,0.0,293,E
336,Karcher-Flow,0.4197952218430034,293,H
337,DAM,0.12627986348122866,293,E
338,MHN,0.0,293,E
339,Karcher-Flow,0.3890784982935154,293,H
340,DAM,0.12286689419795221,293,E
341,MHN,0.0,293,E
342,Karcher-Flow,0.41638225255972694,293,H
343,DAM,0.13651877133105803,293,E
344,MHN,0.0,293,E
345,Karcher-Flow,0.4778156996587031,293,H
346,DAM,0.14334470989761092,293,E
347,MHN,0.0,293,E
348,Karcher-Flow,0.4334470989761092,293,H
349,DAM,0.11604095563139932,293,E
350,MHN,0.0,293,E
351,Karcher-Flow,0.4334470989761092,293,H
352,DAM,0.11945392491467577,293,E
353,MHN,0.0,293,E
354,Karcher-Flow,0.39590443686006827,293,H
355,DAM,0.10921501706484642,293,E
356,MHN,0.0,293,E
357,Karcher-Flow,0.4334470989761092,293,H
358,DAM,0.1296928327645051,293,E
359,MHN,0.0,293,E
360,Karcher-Flow,0.4045226130653266,398,H
361,DAM,0.07035175879396985,398,E
362,MHN,0.0,398,E
363,Karcher-Flow,0.4045226130653266,398,H
364,DAM,0.07537688442211055,398,E
365,MHN,0.0,398,E
366,Karcher-Flow,0.3768844221105528,398,H
367,DAM,0.0678391959798995,398,E
368,MHN,0.0,398,E
369,Karcher-Flow,0.4020100502512563,398,H
370,DAM,0.0728643216080402,398,E
371,MHN,0.0,398,E
372,Karcher-Flow,0.4321608040201005,398,H
373,DAM,0.09045226130653267,398,E
374,MHN,0.0,398,E
375,Karcher-Flow,0.3793969849246231,398,H
376,DAM,0.0829145728643216,398,E
377,MHN,0.0,398,E
378,Karcher-Flow,0.44974874371859297,398,H
379,DAM,0.07788944723618091,398,E
380,MHN,0.0,398,E
381,Karcher-Flow,0.4045226130653266,398,H
382,DAM,0.05778894472361809,398,E
383,MHN,0.0,398,E
384,Karcher-Flow,0.3542713567839196,398,H
385,DAM,0.07788944723618091,398,E
386,MHN,0.0,398,E
387,Karcher-Flow,0.40954773869346733,398,H
388,DAM,0.0678391959798995,398,E
389,MHN,0.0,398,E
390,Karcher-Flow,0.3900184842883549,541,H
391,DAM,0.014787430683918669,541,E
392,MHN,0.0,541,E
393,Karcher-Flow,0.40850277264325324,541,H
394,DAM,0.03512014787430684,541,E
395,MHN,0.0,541,E
396,Karcher-Flow,0.3807763401109057,541,H
397,DAM,0.04621072088724584,541,E
398,MHN,0.0,541,E
399,Karcher-Flow,0.4029574861367837,541,H
400,DAM,0.03512014787430684,541,E
401,MHN,0.0,541,E
402,Karcher-Flow,0.4510166358595194,541,H
403,DAM,0.031423290203327174,541,E
404,MHN,0.0,541,E
405,Karcher-Flow,0.35489833641404805,541,H
406,DAM,0.03512014787430684,541,E
407,MHN,0.0,541,E
408,Karcher-Flow,0.3974121996303142,541,H
409,DAM,0.033271719038817,541,E
410,MHN,0.0,541,E
411,Karcher-Flow,0.41589648798521256,541,H
412,DAM,0.03512014787430684,541,E
413,MHN,0.0,541,E
414,Karcher-Flow,0.38817005545286504,541,H
415,DAM,0.053604436229205174,541,E
416,MHN,0.0,541,E
417,Karcher-Flow,0.38632162661737524,541,H
418,DAM,0.059149722735674676,541,E
419,MHN,0.0,541,E
420,Karcher-Flow,0.3491847826086957,736,H
421,DAM,0.01358695652173913,736,E
422,MHN,0.0,736,E
423,Karcher-Flow,0.36141304347826086,736,H
424,DAM,0.012228260869565218,736,E
425,MHN,0.0,736,E
426,Karcher-Flow,0.37907608695652173,736,H
427,DAM,0.020380434782608696,736,E
428,MHN,0.0,736,E
429,Karcher-Flow,0.37228260869565216,736,H
430,DAM,0.009510869565217392,736,E
431,MHN,0.0,736,E
432,Karcher-Flow,0.3641304347826087,736,H
433,DAM,0.016304347826086956,736,E
434,MHN,0.0,736,E
435,Karcher-Flow,0.360054347826087,736,H
436,DAM,0.010869565217391304,736,E
437,MHN,0.0,736,E
438,Karcher-Flow,0.34375,736,H
439,DAM,0.020380434782608696,736,E
440,MHN,0.0,736,E
441,Karcher-Flow,0.38315217391304346,736,H
442,DAM,0.020380434782608696,736,E
443,MHN,0.0,736,E
444,Karcher-Flow,0.3695652173913043,736,H
445,DAM,0.01358695652173913,736,E
446,MHN,0.0,736,E
447,Karcher-Flow,0.39809782608695654,736,H
448,DAM,0.008152173913043478,736,E
449,MHN,0.0,736,E
450,Karcher-Flow,0.36,1000,H
451,DAM,0.002,1000,E
452,MHN,0.0,1000,E
453,Karcher-Flow,0.331,1000,H
454,DAM,0.003,1000,E
455,MHN,0.0,1000,E
456,Karcher-Flow,0.355,1000,H
457,DAM,0.002,1000,E
458,MHN,0.0,1000,E
459,Karcher-Flow,0.347,1000,H
460,DAM,0.002,1000,E
461,MHN,0.0,1000,E
462,Karcher-Flow,0.365,1000,H
463,DAM,0.001,1000,E
464,MHN,0.0,1000,E
465,Karcher-Flow,0.342,1000,H
466,DAM,0.0,1000,E
467,MHN,0.0,1000,E
468,Karcher-Flow,0.361,1000,H
469,DAM,0.001,1000,E
470,MHN,0.0,1000,E
471,Karcher-Flow,0.313,1000,H
472,DAM,0.003,1000,E
473,MHN,0.0,1000,E
474,Karcher-Flow,0.33,1000,H
475,DAM,0.007,1000,E
476,MHN,0.0,1000,E
477,Karcher-Flow,0.364,1000,H
478,DAM,0.001,1000,E
479,MHN,0.0,1000,E
