,model,recall rate,M,Geometry
0,Karcher-Flow,1.0,10,H
1,DAM,0.9,10,E
2,MHN,0.2,10,E
3,Karcher-Flow,0.9,10,H
4,DAM,0.8,10,E
5,MHN,0.6,10,E
6,Karcher-Flow,0.7,10,H
7,DAM,0.8,10,E
8,MHN,0.1,10,E
9,Karcher-Flow,0.8,10,H
10,DAM,0.9,10,E
11,MHN,0.5,10,E
12,Karcher-Flow,0.5,10,H
13,DAM,0.7,10,E
14,MHN,0.3,10,E
15,Karcher-Flow,0.7,10,H
16,DAM,0.8,10,E
17,MHN,0.5,10,E
18,Karcher-Flow,0.8,10,H
19,DAM,0.8,10,E
20,MHN,0.5,10,E
21,Karcher-Flow,0.9,10,H
22,DAM,0.8,10,E
23,MHN,0.5,10,E
24,Karcher-Flow,1.0,10,H
25,DAM,0.8,10,E
26,MHN,0.5,10,E
27,Karcher-Flow,0.8,10,H
28,DAM,1.0,10,E
29,MHN,0.7,10,E
30,Karcher-Flow,0.5714285714285714,14,H
31,DAM,0.5714285714285714,14,E
32,MHN,0.35714285714285715,14,E
33,Karcher-Flow,0.6428571428571429,14,H
34,DAM,0.7142857142857143,14,E
35,MHN,0.35714285714285715,14,E
36,Karcher-Flow,0.5714285714285714,14,H
37,DAM,0.7857142857142857,14,E
38,MHN,0.5,14,E
39,Karcher-Flow,0.7857142857142857,14,H
40,DAM,0.7857142857142857,14,E
41,MHN,0.21428571428571427,14,E
42,Karcher-Flow,0.5,14,H
43,DAM,0.7142857142857143,14,E
44,MHN,0.5,14,E
45,Karcher-Flow,0.5,14,H
46,DAM,0.7142857142857143,14,E
47,MHN,0.5714285714285714,14,E
48,Karcher-Flow,0.6428571428571429,14,H
49,DAM,0.8571428571428571,14,E
50,MHN,0.35714285714285715,14,E
51,Karcher-Flow,0.5,14,H
52,DAM,0.7142857142857143,14,E
53,MHN,0.5714285714285714,14,E
54,Karcher-Flow,0.6428571428571429,14,H
55,DAM,1.0,14,E
56,MHN,0.42857142857142855,14,E
57,Karcher-Flow,0.7142857142857143,14,H
58,DAM,0.7857142857142857,14,E
59,MHN,0.14285714285714285,14,E
60,Karcher-Flow,0.7222222222222222,18,H
61,DAM,0.8333333333333334,18,E
62,MHN,0.2777777777777778,18,E
63,Karcher-Flow,0.7222222222222222,18,H
64,DAM,0.7222222222222222,18,E
65,MHN,0.3333333333333333,18,E
66,Karcher-Flow,0.5555555555555556,18,H
67,DAM,0.7222222222222222,18,E
68,MHN,0.16666666666666666,18,E
69,Karcher-Flow,0.4444444444444444,18,H
70,DAM,0.6666666666666666,18,E
71,MHN,0.3333333333333333,18,E
72,Karcher-Flow,0.5555555555555556,18,H
73,DAM,0.7777777777777778,18,E
74,MHN,0.2777777777777778,18,E
75,Karcher-Flow,0.9444444444444444,18,H
76,DAM,0.7777777777777778,18,E
77,MHN,0.1111111111111111,18,E
78,Karcher-Flow,0.6111111111111112,18,H
79,DAM,0.4444444444444444,18,E
80,MHN,0.2777777777777778,18,E
81,Karcher-Flow,0.7222222222222222,18,H
82,DAM,0.7777777777777778,18,E
83,MHN,0.2222222222222222,18,E
84,Karcher-Flow,0.6666666666666666,18,H
85,DAM,0.5555555555555556,18,E
86,MHN,0.16666666666666666,18,E
87,Karcher-Flow,0.5,18,H
88,DAM,0.6111111111111112,18,E
89,MHN,0.4444444444444444,18,E
90,Karcher-Flow,0.52,25,H
91,DAM,0.64,25,E
92,MHN,0.12,25,E
93,Karcher-Flow,0.52,25,H
94,DAM,0.68,25,E
95,MHN,0.04,25,E
96,Karcher-Flow,0.6,25,H
97,DAM,0.64,25,E
98,MHN,0.12,25,E
99,Karcher-Flow,0.72,25,H
100,DAM,0.56,25,E
101,MHN,0.08,25,E
102,Karcher-Flow,0.56,25,H
103,DAM,0.64,25,E
104,MHN,0.12,25,E
105,Karcher-Flow,0.52,25,H
106,DAM,0.76,25,E
107,MHN,0.04,25,E
108,Karcher-Flow,0.6,25,H
109,DAM,0.72,25,E
110,MHN,0.32,25,E
111,Karcher-Flow,0.4,25,H
112,DAM,0.56,25,E
113,MHN,0.16,25,E
114,Karcher-Flow,0.56,25,H
115,DAM,0.56,25,E
116,MHN,0.08,25,E
117,Karcher-Flow,0.52,25,H
118,DAM,0.72,25,E
119,MHN,0.12,25,E
120,Karcher-Flow,0.6176470588235294,34,H
121,DAM,0.6176470588235294,34,E
122,MHN,0.0,34,E
123,Karcher-Flow,0.47058823529411764,34,H
124,DAM,0.6470588235294118,34,E
125,MHN,0.0,34,E
126,Karcher-Flow,0.5294117647058824,34,H
127,DAM,0.5294117647058824,34,E
128,MHN,0.0,34,E
129,Karcher-Flow,0.4411764705882353,34,H
130,DAM,0.5,34,E
131,MHN,0.08823529411764706,34,E
132,Karcher-Flow,0.4117647058823529,34,H
133,DAM,0.6176470588235294,34,E
134,MHN,0.058823529411764705,34,E
135,Karcher-Flow,0.5294117647058824,34,H
136,DAM,0.5588235294117647,34,E
137,MHN,0.029411764705882353,34,E
138,Karcher-Flow,0.5588235294117647,34,H
139,DAM,0.4411764705882353,34,E
140,MHN,0.14705882352941177,34,E
141,Karcher-Flow,0.5,34,H
142,DAM,0.4411764705882353,34,E
143,MHN,0.029411764705882353,34,E
144,Karcher-Flow,0.6176470588235294,34,H
145,DAM,0.5882352941176471,34,E
146,MHN,0.058823529411764705,34,E
147,Karcher-Flow,0.5,34,H
148,DAM,0.4411764705882353,34,E
149,MHN,0.029411764705882353,34,E
150,Karcher-Flow,0.5217391304347826,46,H
151,DAM,0.5217391304347826,46,E
152,MHN,0.0,46,E
153,Karcher-Flow,0.5869565217391305,46,H
154,DAM,0.6739130434782609,46,E
155,MHN,0.0,46,E
156,Karcher-Flow,0.41304347826086957,46,H
157,DAM,0.391304347826087,46,E
158,MHN,0.021739130434782608,46,E
159,Karcher-Flow,0.5434782608695652,46,H
160,DAM,0.5434782608695652,46,E
161,MHN,0.0,46,E
162,Karcher-Flow,0.5,46,H
163,DAM,0.6086956521739131,46,E
164,MHN,0.0,46,E
165,Karcher-Flow,0.5652173913043478,46,H
166,DAM,0.391304347826087,46,E
167,MHN,0.0,46,E
168,Karcher-Flow,0.6086956521739131,46,H
169,DAM,0.43478260869565216,46,E
170,MHN,0.0,46,E
171,Karcher-Flow,0.43478260869565216,46,H
172,DAM,0.5652173913043478,46,E
173,MHN,0.0,46,E
174,Karcher-Flow,0.45652173913043476,46,H
175,DAM,0.5,46,E
176,MHN,0.021739130434782608,46,E
177,Karcher-Flow,0.5,46,H
178,DAM,0.5869565217391305,46,E
179,MHN,0.0,46,E
180,Karcher-Flow,0.4444444444444444,63,H
181,DAM,0.4126984126984127,63,E
182,MHN,0.0,63,E
183,Karcher-Flow,0.49206349206349204,63,H
184,DAM,0.3968253968253968,63,E
185,MHN,0.0,63,E
186,Karcher-Flow,0.5079365079365079,63,H
187,DAM,0.4126984126984127,63,E
188,MHN,0.0,63,E
189,Karcher-Flow,0.49206349206349204,63,H
190,DAM,0.5079365079365079,63,E
191,MHN,0.0,63,E
192,Karcher-Flow,0.5238095238095238,63,H
193,DAM,0.42857142857142855,63,E
194,MHN,0.0,63,E
195,Karcher-Flow,0.5238095238095238,63,H
196,DAM,0.47619047619047616,63,E
197,MHN,0.0,63,E
198,Karcher-Flow,0.49206349206349204,63,H
199,DAM,0.4444444444444444,63,E
200,MHN,0.0,63,E
201,Karcher-Flow,0.4603174603174603,63,H
202,DAM,0.42857142857142855,63,E
203,MHN,0.0,63,E
204,Karcher-Flow,0.6349206349206349,63,H
205,DAM,0.5873015873015873,63,E
206,MHN,0.0,63,E
207,Karcher-Flow,0.6349206349206349,63,H
208,DAM,0.3492063492063492,63,E
209,MHN,0.0,63,E
210,Karcher-Flow,0.3953488372093023,86,H
211,DAM,0.36046511627906974,86,E
212,MHN,0.0,86,E
213,Karcher-Flow,0.46511627906976744,86,H
214,DAM,0.3488372093023256,86,E
215,MHN,0.0,86,E
216,Karcher-Flow,0.5,86,H
217,DAM,0.3953488372093023,86,E
218,MHN,0.0,86,E
219,Karcher-Flow,0.5348837209302325,86,H
220,DAM,0.45348837209302323,86,E
221,MHN,0.0,86,E
222,Karcher-Flow,0.4883720930232558,86,H
223,DAM,0.43023255813953487,86,E
224,MHN,0.0,86,E
225,Karcher-Flow,0.46511627906976744,86,H
226,DAM,0.37209302325581395,86,E
227,MHN,0.0,86,E
228,Karcher-Flow,0.5581395348837209,86,H
229,DAM,0.4186046511627907,86,E
230,MHN,0.0,86,E
231,Karcher-Flow,0.47674418604651164,86,H
232,DAM,0.46511627906976744,86,E
233,MHN,0.0,86,E
234,Karcher-Flow,0.45348837209302323,86,H
235,DAM,0.4069767441860465,86,E
236,MHN,0.0,86,E
237,Karcher-Flow,0.4069767441860465,86,H
238,DAM,0.3953488372093023,86,E
239,MHN,0.0,86,E
240,Karcher-Flow,0.5213675213675214,117,H
241,DAM,0.3076923076923077,117,E
242,MHN,0.0,117,E
243,Karcher-Flow,0.47863247863247865,117,H
244,DAM,0.3333333333333333,117,E
245,MHN,0.0,117,E
246,Karcher-Flow,0.38461538461538464,117,H
247,DAM,0.3247863247863248,117,E
248,MHN,0.0,117,E
249,Karcher-Flow,0.4358974358974359,117,H
250,DAM,0.3504273504273504,117,E
251,MHN,0.0,117,E
252,Karcher-Flow,0.4444444444444444,117,H
253,DAM,0.3076923076923077,117,E
254,MHN,0.0,117,E
255,Karcher-Flow,0.49572649572649574,117,H
256,DAM,0.3418803418803419,117,E
257,MHN,0.0,117,E
258,Karcher-Flow,0.5555555555555556,117,H
259,DAM,0.358974358974359,117,E
260,MHN,0.0,117,E
261,Karcher-Flow,0.4444444444444444,117,H
262,DAM,0.3076923076923077,117,E
263,MHN,0.0,117,E
264,Karcher-Flow,0.5213675213675214,117,H
265,DAM,0.27350427350427353,117,E
266,MHN,0.0,117,E
267,Karcher-Flow,0.5042735042735043,117,H
268,DAM,0.3162393162393162,117,E
269,MHN,0.0,117,E
270,Karcher-Flow,0.43670886075949367,158,H
271,DAM,0.189873417721519,158,E
272,MHN,0.0,158,E
273,Karcher-Flow,0.4050632911392405,158,H
274,DAM,0.25316455696202533,158,E
275,MHN,0.0,158,E
276,Karcher-Flow,0.44936708860759494,158,H
277,DAM,0.23417721518987342,158,E
278,MHN,0.0,158,E
279,Karcher-Flow,0.44936708860759494,158,H
280,DAM,0.20253164556962025,158,E
281,MHN,0.0,158,E
282,Karcher-Flow,0.43037974683544306,158,H
283,DAM,0.24050632911392406,158,E
284,MHN,0.0,158,E
285,Karcher-Flow,0.46835443037974683,158,H
286,DAM,0.25316455696202533,158,E
287,MHN,0.0,158,E
288,Karcher-Flow,0.4240506329113924,158,H
289,DAM,0.22784810126582278,158,E
290,MHN,0.0,158,E
291,Karcher-Flow,0.4430379746835443,158,H
292,DAM,0.17721518987341772,158,E
293,MHN,0.0,158,E
294,Karcher-Flow,0.4810126582278481,158,H
295,DAM,0.23417721518987342,158,E
296,MHN,0.0,158,E
297,Karcher-Flow,0.4430379746835443,158,H
298,DAM,0.1962025316455696,158,E
299,MHN,0.0,158,E
300,Karcher-Flow,0.4558139534883721,215,H
301,DAM,0.1813953488372093,215,E
302,MHN,0.0,215,E
