,model,recall rate,M,Geometry
159,Karcher-Flow,0.9302325581395349,43,H
160,DAM,0.7209302325581395,43,E
161,MHN,0.0,43,E
162,Karcher-Flow,0.9767441860465116,43,H
163,DAM,0.7674418604651163,43,E
164,MHN,0.0,43,E
165,Karcher-Flow,0.9302325581395349,43,H
166,DAM,0.7674418604651163,43,E
167,MHN,0.0,43,E
168,Karcher-Flow,0.9302325581395349,43,H
169,DAM,0.813953488372093,43,E
170,MHN,0.0,43,E
171,Karcher-Flow,0.9767441860465116,43,H
172,DAM,0.7674418604651163,43,E
173,MHN,0.0,43,E
174,Karcher-Flow,0.9069767441860465,43,H
175,DAM,0.6511627906976745,43,E
176,MHN,0.0,43,E
177,Karcher-Flow,0.9767441860465116,43,H
178,DAM,0.7441860465116279,43,E
179,MHN,0.0,43,E
180,Karcher-Flow,0.96,50,H
181,DAM,0.74,50,E
182,MHN,0.0,50,E
183,Karcher-Flow,0.82,50,H
184,DAM,0.68,50,E
185,MHN,0.0,50,E
186,Karcher-Flow,0.94,50,H
187,DAM,0.78,50,E
188,MHN,0.0,50,E
189,Karcher-Flow,0.98,50,H
190,DAM,0.76,50,E
191,MHN,0.0,50,E
192,Karcher-Flow,0.94,50,H
193,DAM,0.68,50,E
194,MHN,0.0,50,E
195,Karcher-Flow,0.96,50,H
196,DAM,0.72,50,E
197,MHN,0.0,50,E
198,Karcher-Flow,0.98,50,H
199,DAM,0.74,50,E
200,MHN,0.0,50,E
201,Karcher-Flow,0.9,50,H
202,DAM,0.68,50,E
203,MHN,0.0,50,E
204,Karcher-Flow,0.92,50,H
205,DAM,0.76,50,E
206,MHN,0.0,50,E
207,Karcher-Flow,1.0,50,H
208,DAM,0.84,50,E
209,MHN,0.0,50,E
210,Karcher-Flow,0.9152542372881356,59,H
211,DAM,0.7966101694915254,59,E
212,MHN,0.0,59,E
213,Karcher-Flow,0.9830508474576272,59,H
214,DAM,0.8135593220338984,59,E
215,MHN,0.0,59,E
216,Karcher-Flow,0.8983050847457628,59,H
217,DAM,0.7627118644067796,59,E
218,MHN,0.0,59,E
219,Karcher-Flow,0.9830508474576272,59,H
220,DAM,0.8305084745762712,59,E
221,MHN,0.0,59,E
222,Karcher-Flow,0.9152542372881356,59,H
223,DAM,0.6440677966101694,59,E
224,MHN,0.0,59,E
225,Karcher-Flow,0.9152542372881356,59,H
226,DAM,0.7796610169491526,59,E
227,MHN,0.0,59,E
228,Karcher-Flow,0.9491525423728814,59,H
229,DAM,0.6610169491525424,59,E
230,MHN,0.0,59,E
231,Karcher-Flow,0.9830508474576272,59,H
232,DAM,0.7627118644067796,59,E
233,MHN,0.0,59,E
234,Karcher-Flow,0.9491525423728814,59,H
235,DAM,0.6949152542372882,59,E
236,MHN,0.0,59,E
237,Karcher-Flow,0.9322033898305084,59,H
238,DAM,0.7457627118644068,59,E
239,MHN,0.0,59,E
240,Karcher-Flow,0.9558823529411765,68,H
241,DAM,0.6617647058823529,68,E
242,MHN,0.0,68,E
243,Karcher-Flow,0.9411764705882353,68,H
244,DAM,0.7352941176470589,68,E
245,MHN,0.0,68,E
246,Karcher-Flow,0.9117647058823529,68,H
247,DAM,0.7647058823529411,68,E
248,MHN,0.0,68,E
249,Karcher-Flow,0.8823529411764706,68,H
250,DAM,0.7352941176470589,68,E
251,MHN,0.0,68,E
252,Karcher-Flow,0.9411764705882353,68,H
253,DAM,0.7058823529411765,68,E
254,MHN,0.0,68,E
255,Karcher-Flow,1.0,68,H
256,DAM,0.6617647058823529,68,E
257,MHN,0.0,68,E
258,Karcher-Flow,0.9558823529411765,68,H
259,DAM,0.6470588235294118,68,E
260,MHN,0.0,68,E
261,Karcher-Flow,0.9117647058823529,68,H
262,DAM,0.6470588235294118,68,E
263,MHN,0.0,68,E
264,Karcher-Flow,0.9558823529411765,68,H
265,DAM,0.6470588235294118,68,E
266,MHN,0.0,68,E
267,Karcher-Flow,0.9264705882352942,68,H
268,DAM,0.6617647058823529,68,E
269,MHN,0.0,68,E
270,Karcher-Flow,0.95,80,H
271,DAM,0.675,80,E
272,MHN,0.0,80,E
273,Karcher-Flow,0.9125,80,H
274,DAM,0.6375,80,E
275,MHN,0.0,80,E
276,Karcher-Flow,0.95,80,H
277,DAM,0.5875,80,E
278,MHN,0.0,80,E
279,Karcher-Flow,0.9375,80,H
280,DAM,0.625,80,E
281,MHN,0.0,80,E
282,Karcher-Flow,0.9625,80,H
283,DAM,0.6375,80,E
284,MHN,0.0,80,E
285,Karcher-Flow,0.9125,80,H
286,DAM,0.7,80,E
287,MHN,0.0,80,E
288,Karcher-Flow,0.9375,80,H
289,DAM,0.65,80,E
290,MHN,0.0,80,E
291,Karcher-Flow,0.925,80,H
292,DAM,0.675,80,E
293,MHN,0.0,80,E
294,Karcher-Flow,0.85,80,H
295,DAM,0.725,80,E
296,MHN,0.0,80,E
297,Karcher-Flow,0.9125,80,H
298,DAM,0.7625,80,E
299,MHN,0.0,80,E
300,Karcher-Flow,0.9139784946236559,93,H
301,DAM,0.6989247311827957,93,E
302,MHN,0.0,93,E
303,Karcher-Flow,0.946236559139785,93,H
304,DAM,0.6236559139784946,93,E
305,MHN,0.0,93,E
306,Karcher-Flow,0.9032258064516129,93,H
307,DAM,0.6881720430107527,93,E
308,MHN,0.0,93,E
309,Karcher-Flow,0.8602150537634409,93,H
310,DAM,0.6989247311827957,93,E
311,MHN,0.0,93,E
312,Karcher-Flow,0.9032258064516129,93,H
313,DAM,0.6666666666666666,93,E
314,MHN,0.0,93,E
315,Karcher-Flow,0.9139784946236559,93,H
316,DAM,0.6666666666666666,93,E
317,MHN,0.0,93,E
318,Karcher-Flow,0.9139784946236559,93,H
319,DAM,0.6774193548387096,93,E
320,MHN,0.0,93,E
321,Karcher-Flow,0.956989247311828,93,H
322,DAM,0.7096774193548387,93,E
323,MHN,0.0,93,E
324,Karcher-Flow,0.9139784946236559,93,H
325,DAM,0.6344086021505376,93,E
326,MHN,0.0,93,E
327,Karcher-Flow,0.956989247311828,93,H
328,DAM,0.6666666666666666,93,E
329,MHN,0.0,93,E
330,Karcher-Flow,0.9259259259259259,108,H
331,DAM,0.6574074074074074,108,E
332,MHN,0.0,108,E
333,Karcher-Flow,0.9351851851851852,108,H
334,DAM,0.6666666666666666,108,E
335,MHN,0.0,108,E
336,Karcher-Flow,0.8981481481481481,108,H
337,DAM,0.5925925925925926,108,E
338,MHN,0.0,108,E
339,Karcher-Flow,0.9537037037037037,108,H
340,DAM,0.6203703703703703,108,E
341,MHN,0.0,108,E
342,Karcher-Flow,0.9722222222222222,108,H
343,DAM,0.5462962962962963,108,E
344,MHN,0.0,108,E
345,Karcher-Flow,0.9259259259259259,108,H
346,DAM,0.6296296296296297,108,E
347,MHN,0.0,108,E
348,Karcher-Flow,0.9629629629629629,108,H
349,DAM,0.6111111111111112,108,E
350,MHN,0.0,108,E
351,Karcher-Flow,0.9351851851851852,108,H
352,DAM,0.6296296296296297,108,E
353,MHN,0.0,108,E
354,Karcher-Flow,0.9444444444444444,108,H
355,DAM,0.5555555555555556,108,E
356,MHN,0.0,108,E
357,Karcher-Flow,0.9722222222222222,108,H
358,DAM,0.5925925925925926,108,E
359,MHN,0.0,108,E
360,Karcher-Flow,0.9523809523809523,126,H
361,DAM,0.5158730158730159,126,E
362,MHN,0.0,126,E
363,Karcher-Flow,0.9365079365079365,126,H
364,DAM,0.6507936507936508,126,E
365,MHN,0.0,126,E
366,Karcher-Flow,0.8809523809523809,126,H
367,DAM,0.6428571428571429,126,E
368,MHN,0.0,126,E
369,Karcher-Flow,0.9126984126984127,126,H
370,DAM,0.5873015873015873,126,E
371,MHN,0.0,126,E
372,Karcher-Flow,0.9285714285714286,126,H
373,DAM,0.5079365079365079,126,E
374,MHN,0.0,126,E
375,Karcher-Flow,0.9285714285714286,126,H
376,DAM,0.6190476190476191,126,E
377,MHN,0.0,126,E
378,Karcher-Flow,0.9365079365079365,126,H
379,DAM,0.47619047619047616,126,E
380,MHN,0.0,126,E
381,Karcher-Flow,0.9603174603174603,126,H
382,DAM,0.5634920634920635,126,E
383,MHN,0.0,126,E
384,Karcher-Flow,0.9126984126984127,126,H
385,DAM,0.5714285714285714,126,E
386,MHN,0.0,126,E
387,Karcher-Flow,0.8888888888888888,126,H
388,DAM,0.5952380952380952,126,E
389,MHN,0.0,126,E
390,Karcher-Flow,0.8843537414965986,147,H
391,DAM,0.5714285714285714,147,E
392,MHN,0.0,147,E
393,Karcher-Flow,0.9251700680272109,147,H
394,DAM,0.5850340136054422,147,E
395,MHN,0.0,147,E
396,Karcher-Flow,0.9183673469387755,147,H
397,DAM,0.5374149659863946,147,E
398,MHN,0.0,147,E
399,Karcher-Flow,0.8979591836734694,147,H
400,DAM,0.5918367346938775,147,E
401,MHN,0.0,147,E
402,Karcher-Flow,0.9319727891156463,147,H
403,DAM,0.5986394557823129,147,E
404,MHN,0.0,147,E
405,Karcher-Flow,0.9319727891156463,147,H
406,DAM,0.5510204081632653,147,E
407,MHN,0.0,147,E
408,Karcher-Flow,0.891156462585034,147,H
409,DAM,0.5918367346938775,147,E
410,MHN,0.0,147,E
411,Karcher-Flow,0.9319727891156463,147,H
412,DAM,0.5918367346938775,147,E
413,MHN,0.0,147,E
414,Karcher-Flow,0.8979591836734694,147,H
415,DAM,0.6122448979591837,147,E
416,MHN,0.0,147,E
417,Karcher-Flow,0.8979591836734694,147,H
418,DAM,0.5374149659863946,147,E
419,MHN,0.0,147,E
420,Karcher-Flow,0.9127906976744186,172,H
421,DAM,0.5116279069767442,172,E
422,MHN,0.0,172,E
423,Karcher-Flow,0.9186046511627907,172,H
424,DAM,0.4883720930232558,172,E
425,MHN,0.0,172,E
426,Karcher-Flow,0.9476744186046512,172,H
427,DAM,0.5116279069767442,172,E
428,MHN,0.0,172,E
429,Karcher-Flow,0.9302325581395349,172,H
430,DAM,0.5581395348837209,172,E
431,MHN,0.0,172,E
432,Karcher-Flow,0.9534883720930233,172,H
433,DAM,0.5174418604651163,172,E
434,MHN,0.0,172,E
435,Karcher-Flow,0.936046511627907,172,H
436,DAM,0.5,172,E
437,MHN,0.0,172,E
438,Karcher-Flow,0.9011627906976745,172,H
439,DAM,0.5232558139534884,172,E
440,MHN,0.0,172,E
441,Karcher-Flow,0.9244186046511628,172,H
442,DAM,0.5,172,E
443,MHN,0.0,172,E
444,Karcher-Flow,0.9069767441860465,172,H
445,DAM,0.6104651162790697,172,E
446,MHN,0.0,172,E
447,Karcher-Flow,0.9302325581395349,172,H
448,DAM,0.5232558139534884,172,E
449,MHN,0.0,172,E
450,Karcher-Flow,0.905,200,H
451,DAM,0.525,200,E
452,MHN,0.0,200,E
453,Karcher-Flow,0.87,200,H
454,DAM,0.505,200,E
455,MHN,0.0,200,E
456,Karcher-Flow,0.95,200,H
457,DAM,0.5,200,E
458,MHN,0.0,200,E
459,Karcher-Flow,0.89,200,H
460,DAM,0.525,200,E
461,MHN,0.0,200,E
462,Karcher-Flow,0.91,200,H
463,DAM,0.565,200,E
464,MHN,0.0,200,E
465,Karcher-Flow,0.935,200,H
466,DAM,0.49,200,E
467,MHN,0.0,200,E
468,Karcher-Flow,0.905,200,H
469,DAM,0.555,200,E
470,MHN,0.0,200,E
471,Karcher-Flow,0.925,200,H
472,DAM,0.54,200,E
473,MHN,0.0,200,E
474,Karcher-Flow,0.91,200,H
475,DAM,0.505,200,E
476,MHN,0.0,200,E
477,Karcher-Flow,0.89,200,H
478,DAM,0.46,200,E
479,MHN,0.0,200,E
