,model,recall rate,M,Geometry
0,Karcher-Flow,1.0,20,H
1,DAM,0.8,20,E
2,MHN,0.0,20,E
3,Karcher-Flow,0.95,20,H
4,DAM,0.9,20,E
5,MHN,0.0,20,E
6,Karcher-Flow,0.85,20,H
7,DAM,0.9,20,E
8,MHN,0.0,20,E
9,Karcher-Flow,1.0,20,H
10,DAM,0.95,20,E
11,MHN,0.0,20,E
12,Karcher-Flow,0.95,20,H
13,DAM,0.75,20,E
14,MHN,0.0,20,E
15,Karcher-Flow,0.95,20,H
16,DAM,0.95,20,E
17,MHN,0.0,20,E
18,Karcher-Flow,0.95,20,H
19,DAM,0.9,20,E
20,MHN,0.0,20,E
21,Karcher-Flow,0.9,20,H
22,DAM,0.9,20,E
23,MHN,0.0,20,E
24,Karcher-Flow,1.0,20,H
25,DAM,0.75,20,E
26,MHN,0.0,20,E
27,Karcher-Flow,0.95,20,H
28,DAM,0.85,20,E
29,MHN,0.0,20,E
30,Karcher-Flow,1.0,23,H
31,DAM,0.8260869565217391,23,E
32,MHN,0.0,23,E
33,Karcher-Flow,0.9130434782608695,23,H
34,DAM,0.9130434782608695,23,E
35,MHN,0.0,23,E
36,Karcher-Flow,0.9565217391304348,23,H
37,DAM,0.782608695652174,23,E
38,MHN,0.0,23,E
39,Karcher-Flow,1.0,23,H
40,DAM,0.782608695652174,23,E
41,MHN,0.0,23,E
42,Karcher-Flow,0.9565217391304348,23,H
43,DAM,0.8695652173913043,23,E
44,MHN,0.0,23,E
45,Karcher-Flow,0.9565217391304348,23,H
46,DAM,0.7391304347826086,23,E
47,MHN,0.0,23,E
48,Karcher-Flow,0.9130434782608695,23,H
49,DAM,0.6956521739130435,23,E
50,MHN,0.0,23,E
51,Karcher-Flow,1.0,23,H
52,DAM,0.782608695652174,23,E
53,MHN,0.0,23,E
54,Karcher-Flow,1.0,23,H
55,DAM,0.8695652173913043,23,E
56,MHN,0.0,23,E
57,Karcher-Flow,0.9565217391304348,23,H
58,DAM,0.8260869565217391,23,E
59,MHN,0.0,23,E
60,Karcher-Flow,0.9259259259259259,27,H
61,DAM,0.8518518518518519,27,E
62,MHN,0.0,27,E
63,Karcher-Flow,0.9259259259259259,27,H
64,DAM,0.8148148148148148,27,E
65,MHN,0.0,27,E
66,Karcher-Flow,1.0,27,H
67,DAM,0.7777777777777778,27,E
68,MHN,0.0,27,E
69,Karcher-Flow,0.9259259259259259,27,H
70,DAM,0.7777777777777778,27,E
71,MHN,0.0,27,E
72,Karcher-Flow,0.9629629629629629,27,H
73,DAM,0.8888888888888888,27,E
74,MHN,0.0,27,E
75,Karcher-Flow,1.0,27,H
76,DAM,0.8148148148148148,27,E
77,MHN,0.0,27,E
78,Karcher-Flow,1.0,27,H
79,DAM,0.8888888888888888,27,E
80,MHN,0.0,27,E
81,Karcher-Flow,0.9259259259259259,27,H
82,DAM,0.8518518518518519,27,E
83,MHN,0.0,27,E
84,Karcher-Flow,1.0,27,H
85,DAM,0.8518518518518519,27,E
86,MHN,0.0,27,E
87,Karcher-Flow,0.9629629629629629,27,H
88,DAM,0.8888888888888888,27,E
89,MHN,0.0,27,E
90,Karcher-Flow,0.90625,32,H
91,DAM,0.84375,32,E
92,MHN,0.0,32,E
93,Karcher-Flow,1.0,32,H
94,DAM,0.75,32,E
95,MHN,0.0,32,E
96,Karcher-Flow,0.9375,32,H
97,DAM,0.78125,32,E
98,MHN,0.0,32,E
99,Karcher-Flow,0.9375,32,H
100,DAM,0.9375,32,E
101,MHN,0.0,32,E
102,Karcher-Flow,0.9375,32,H
103,DAM,0.8125,32,E
104,MHN,0.0,32,E
105,Karcher-Flow,0.96875,32,H
106,DAM,0.8125,32,E
107,MHN,0.0,32,E
108,Karcher-Flow,0.96875,32,H
109,DAM,0.78125,32,E
110,MHN,0.0,32,E
111,Karcher-Flow,0.96875,32,H
112,DAM,0.90625,32,E
113,MHN,0.0,32,E
114,Karcher-Flow,0.9375,32,H
115,DAM,0.78125,32,E
116,MHN,0.0,32,E
117,Karcher-Flow,1.0,32,H
118,DAM,0.8125,32,E
119,MHN,0.0,32,E
120,Karcher-Flow,0.918918918918919,37,H
121,DAM,0.6486486486486487,37,E
122,MHN,0.0,37,E
123,Karcher-Flow,1.0,37,H
124,DAM,0.7027027027027027,37,E
125,MHN,0.0,37,E
126,Karcher-Flow,0.972972972972973,37,H
127,DAM,0.8648648648648649,37,E
128,MHN,0.0,37,E
129,Karcher-Flow,0.918918918918919,37,H
130,DAM,0.6756756756756757,37,E
131,MHN,0.0,37,E
132,Karcher-Flow,0.972972972972973,37,H
133,DAM,0.8108108108108109,37,E
134,MHN,0.0,37,E
135,Karcher-Flow,1.0,37,H
136,DAM,0.7297297297297297,37,E
137,MHN,0.0,37,E
138,Karcher-Flow,0.9459459459459459,37,H
139,DAM,0.7567567567567568,37,E
140,MHN,0.0,37,E
141,Karcher-Flow,0.972972972972973,37,H
142,DAM,0.7027027027027027,37,E
143,MHN,0.0,37,E
144,Karcher-Flow,0.918918918918919,37,H
145,DAM,0.7567567567567568,37,E
146,MHN,0.0,37,E
147,Karcher-Flow,0.918918918918919,37,H
148,DAM,0.7297297297297297,37,E
149,MHN,0.0,37,E
150,Karcher-Flow,0.9534883720930233,43,H
151,DAM,0.8372093023255814,43,E
152,MHN,0.0,43,E
153,Karcher-Flow,0.9302325581395349,43,H
154,DAM,0.7441860465116279,43,E
155,MHN,0.0,43,E
156,Karcher-Flow,0.9302325581395349,43,H
157,DAM,0.627906976744186,43,E
158,MHN,0.0,43,E
